Game Name,Game Genre,Description,Features,Gameplay,Game Engine,Experience,Other Notes,Made By
Resoulate,rhythm roguelike!,a game that combines both the elements of a rhythm game and a roguelike for absolute chaos!,"circle note rhythm aspect | enemies | random stages | upgrade cards | variety of notes that have different effects, makes it more interesting for the player with abilities/upgrades | innate/starter abilities","enemies on the top, a rhythm bar at the bottom, where you have to hit notes to use your abilities to attack the enemy. enemies can attack back, where you can also hit notes to dodge attacks. will be a roguelike, meaning enemy attacks will be random, you gain buff/upgrade cards when completing levels :slightly_smiling_face:.",godot with gdscript,"a LOT of minecraft modding, some background in machine learning. i have a deep interest in creating games, so this would be stepping out my comfort zone from minecraft","i do feel like this might be ambitious with limited time, so ill try to keep it simple.",Daxz
idk/something to do with conveyors,zachtronics-like/puzzle,a factory-building game about cramming as much efficiency into as little space as possible,conveyor belts | material conversions,grid-based puzzler where you rotate and place different tiles in order to match a level's expected output (given fixed inputs),pygame,5 years coding experience. majority in pygame making games.,"really minimal art style, maybe around 20 levels.",Elly
Rigged Basketball,"Arcade style, Sports","You play as a basketball player using a remote to move the hoop. Your goal is to catch as many basketballs as you can without dropping any, as the thrower speeds up over time.","An online leaderboard, run on Quiver | Alternating animations for the thrower and the angered members of the opposing team",Moving the hoop to catch basketballs,Godot,"Published 1 godot game and 1 unity game, Made 2 sprig games, and have experience in beginner engines (scratch, roblox)","Simple style, assets will either be found online or made in inkscape",Aperaine
A Stacking Chance,Rougelike/Strategy,A Rougelike strategy game where you have to dismatle a tower (Jenga style) put each piece has a special ability without the tower falling down,Randomised level generation | Local highscore system | Deck/ability building | Chaotic piece powers,"You start with a randomly generated tower and you have to remove pieces one by one while dealing with their powers (fire which spreads to other pieces, ice which makes pieces slippery etc.) and you have to remove enough pieces to reach a certain score, where then the tower will regenerate and grow, after you finish a level you can pick from a new modifier (you get to select more pieces, increased multiplier etc) the goal is to get the tower to the height of 100. If the tower falls over you lose!",Unity,"Around 3.5 years of game development with Unity and GameMaker, primarily focusing on game jams",N/A,Vertex
Yak Stack,endless runner,"stack yaks in different configurations to bypass tricky terrain, to lead The Big Moo to safety away from an incoming tsunami","unlock different speeds of yak spawming, multiple yak spawners | different stack configurations (e.g. conga, vertical stack, pyramid...) | unlockable yak styles",levels (not sure how many) and also infinite play mode (aim for distance travelled or highest yak stack),Godot,first time game dev but plenty of programming experience,i am trying to make this as silly as possible,Sophia
Not Decided,"Physics-based, action !",spinning tops battle where you have to discover combos and defeat the AI opponent!,- realistic spin physics with stamina decay. | - AI battles. | - knockouts. | - cool animations. | - Charge your tops before the bttle starts!,you control a spinning top inside an arena. You have to discover different combos to quickly knock the AI enemy out  from the stadium or last longer.,Unity!,First time using Unity!,inspired by Beyblade!,Mustafa A.
SkyBound,A rogue-like game,You must battle an onslaught of enemy airships to survive and find the gem.,Turn based combat | Unlockable ships/crew. | Upgrades and new weapons. | An interactive map.,"You can choose some limited airships to play. As you defeat enemy ships, you will unlock and discover more ships and crew. You will get upgrades and face fleets of pirates. Every battle brings you closer to the Storm Sphere, the only hope for humanity to survive.",Godot,Beginner,,Ziqi G.
BounceBack,2D Platformer,"You're a rubbery blob trying to escape a colorful cartoon factory. But there's a twist — you can't walk. You can only bounce off walls, floors, and obstacles to move forward. Bounce with precision, solve puzzles, and avoid traps as you escape the BounceLab.","One-button bounce control | Momentum-based wall movement | Puzzle-platformer levels with switches, traps, and moving platforms | Collectibles to unlock new skins or abilities","You play as a round rubber blob that only moves by bouncing. Pressing a button launches you in a direction, and you’ll bounce off any surface — but bounce too fast or the wrong way and you hit a trap! Each level introduces new elements like bounce pads, lasers, doors, or rotating blocks. Your job is to master angles, physics, and timing to escape. Simple to start, hard to master!",Godot (learning it while building this!),"This is my first game, and I’ve never used Godot before — but I’ve built web apps and done some programming (JS, Python). I’ll be following tutorials and gradually customizing the game with my own features and art.",,Turbash N.
Space Runner,endless runner,The main character is running from the enemies in different planets,flying bombs,"This game is endless, and the player has to dodge the bombs that come toward him, escape lasers, and collect coins and other ""cards"" that give the character new abilities.",unity,this is my first time creating games!!,the backgrounds keep changing as the character goes to the other planets. I will be using tutorials to learn and make changes to my game.,Meghna
no name yet :O,roguelite(ish),procedural dungeon crawler where you can leave at any time or go deeper to find better loot at the risk of your life,Spell based combat | Melee combat (if i have time) | Procedural dungeon generation,"Explore a procedurally generated dungeon in search of riches, but dying means losing everything you brought with you to explore",godot probably,Counterspell pygame (also more programming experience outside of game dev!),,Michael H.
Super PolySpawn Wars,Classic 2D Arcade Space Shooter,"A fast, fun, and retro-inspired space shooter with powerups, bosses, and intense action.","Classic arcade vibes with cool modern polish | Powerups like speed boosts, triple shots, shields, and health | Boss battles with increasing difficulty | A smooth 30 FPS experience(I guess that's OK) | Parallax scrolling background for that NEXT LEVEL space feel | Score system based on your performance like how many kills | Pause or quit anytime | Temporary invincibility when you take damage (because everyone deserves a second chance)","You control a nimble spaceship in deep space, rotating and firing with precision using real-time trigonometry. Waves of enemies come at you, each one more intense than the last. Powerups keep you alive a bit longer, bosses keep you guessing, and the action never really stops. It’s fast, skill-based, and totally addictive.",UNITY,"I’ve been into game development for quite a while now, mainly working with Unity and C#. I’ve built multiple small projects and prototypes, learning about prefabs, animations, physics, and system design along the way. A while ago, I shifted my focus to cybersecurity and AI — areas I’m deeply passionate about and currently exploring in depth.  But recently, I decided to jump back into game dev temporarily — partly because I missed the creative process, and partly because I have a personal reason: I’m building this game with the hope of earning enough to buy a gaming console for my sister's birthday on July 23rd. She’s been wishing for one for a long time, and this felt like the perfect opportunity to make that happen.  After this project, I’m also planning to experiment with Unreal Engine to build a 3D horror game — just for the fun of pushing myself into something new and different.  So while I may not be here in game dev forever, right now I’m fully in — building, learning, and creating with purpose.",My English is not that good so i used Grammarly to make this grammatically correct at least while writing these :cry:,Anonymous
Corruption-Lab,2D puzzle-platformer with arcade-action vibes,Bounce your way through the lab filled with corrupted elements,A corruption-meter sidebar at the right side of the screen | Different music based on your corruption level | Different backgrounds based on your corruption level | Touching certain areas grant corruption | Some rare collectibles grant cool skins or abilities but spike corruption | Special tiles reduce corruption | Game can be paused and progress can be saved at any time,You play as a bouncing blob that absorbs corrupted energy when interacting with different areas in the factory which will increase your corruption gauge and that alters the visuals and difficulty of the game.,Godot,This is my first game I have never created a game in Godot.,,Shweta
Captain Redbeard's Adventure,2D platformer,A lego-themed platformer where you are a pirate on a mission to rescue your kidnapped parrot.,Design heavily inspired by classic lego pirates | Different enemy types | Special item to collect in each level | Coins to collect as you go,TBC.,Godot,First time :D,Heavily inspired by the 2D browser-based lego platformers of the 2010s.,Aly
Gridlock,Puzzle,a puzzle game where you place Tetris like blocks on a grid strategically while avoiding placing the blocks on blockers on the grid,block placing | blockers on the grid | randomly generated blocker placement gameplay: You have to place down the blocks on the grid till the grid is filled. You cannot place the locks on the blocks which are scattered around the grid. After the puzzle is completed it gives you a score based off of different variables including time spent solving.,,Godot,Some experience in Godot,None,Jackson W.
TBD,horde survivor (like vampire survivors),Survive increasingly intense rounds by upgrading one weapon with stacking powers,"Increasingly dangerous horde rounds with enemies that drop xp | xp that when filled up gives you a choice between 3 upgrades | weapon upgrades that are designed to stack, e.g. a shotgun upgrade that makes your gun shoot multiple shots, or a flame upgrade that sets your bullets on fire","endless rounds, player tries to survive as long as possible & beat their last score. Upgrading their weapon along the way.",Godot,"Juice, Neighborhood's hacktendo & other general godot things",This is such a cool program :)),Armand
Peak of destiny,2d Platformer (like bread and fred),"A hard platformer game about hiking on a wild mountain all on your own, no one will be there to help you after you start hiking, throw climbing hooks to unnaccesible parts of the mountain and ropes to the hooks so you can go higher and higher, until you reach the end.","Throwing hooks to different kinds of surfaces to climb, because the player's jump is very short. | Depending the time you take to various checkpoints, you'll unlock new equipment or new hooks or ropes. | You'll need to have item distribution, cause H2O will be helpful, but if you use it, you'll have no more till you A. Lose all your lives or B. Reach the checkpoints around the mountain","Get the higher you can on the mountain, while resguarding yourself from occasional blizzards, throw hooks while having into account gravity, wind speeds and stuff, with",Godot,"Making of discord bots, websites and some other stuff, with some participation in national hackatons.","I hope i get a console, cause i have never had a single one :)",Jacobo P.
Auto-Mate,puzzle,A grid-based factory building puzzle game,conveyor belts | crafting machines | multiple crafting recipes,"There will be a grid with a goal area and a material area. You will get resources from the material area, and you will design a factory to make a robot item and put it in the goal area",Godot,first time!,Factorio art style,The_Unicycling_1
Kitchen Alchemist,2D Puzzle / Time-management,Cook enchanted dishes using magical ingredients and become the ultimate Kitchen Alchemist!,"Drag-and-drop cooking mechanics | A magical recipe book that unlocks as you progress | Special ingredients with magical effects (e.g., Fire Pepper, Time Crystal) | Countdown timer and star-based scoring system | In-game currency system: earn coins for successful dishes | Magic Market (Shop) where players buy: | Gameplay boosts (e.g., extra time, hint scrolls) | New magical ingredients | Cosmetic upgrades (kitchen tools, cauldrons) | Simple level progression with increasing difficulty | Fun visual feedback and sounds for success/failure","You play as an apprentice alchemist-chef in a magical world. Each level presents recipes that must be cooked by dragging the correct ingredients into a cauldron before time runs out. Using magical ingredients can cause special effects — both helpful and chaotic. Players earn coins based on how quickly and accurately they complete levels. Between levels, players can visit the Magic Market, where they spend coins on powerful upgrades, rare ingredients, or stylish kitchen items. The game becomes progressively harder, introducing more complex recipes, faster timers, and new challenges.",Godot,I have no prior game development experience but I’m learning Godot. I have a web development background and recently built a recipe collector website. This is my first solo game project.,"Focus is on fun, simplicity, and magical cooking vibes. May later connect to my real-world recipe website. Visual style: playful, colorful, possibly cartoon-inspired.",Anas H.
Wake of the forgotten,FPS shooter,"Survive waves of zombies, that come in swarms like hexagonal all 4 sides, etc.","harder waves every time, theres a 1/10 chance a zombie drops a coin | coins give upgrades like time stop, npc hire, double ammo. | maybe tanks | operations/sidequests too","infinite waves, survive for as long as you can.",Unity,Juice,,Hridya A.
Coin Grabber,side-scrolling auto-runner platformer,Grab all the coins in the game using multipe platforms and be careful not to die,"multiple platforms to jump and placed at the top right sequentially | A counter for coins that track how many coins you have claimed | If you claim all coins, you win and the you win text appears in a different screen with a play again button | If you get hit by an enemy or fall down, you lose and the you lose text appears in a different screen, with a play again button","Limited amount of tiles and platformers, grab all the coins to win, even if you don't grab all coins, you can go back, but be careful",Godot,,,Pranav
Ascendancy,Platformer x RPG,"Platformer meets RPG, in this exciting tower-climbing game.","Platformer to climb tower | Inspired by an RPG, features moving enemies | Evolve equipment/abilities on the way up | Boss fights as you climb | Wall jumping","You'll climb a tower, and on the way up, face different enemies, including some bosses. You'll be able to evolve, and upgrade weapons/armour/smth with in-game currency. There will be equipment, like grappling hooks, that you can buy as well.",Godot,I've made a few games with Godot (for High Seas).,,David
